n,bits,mitigation,action,runs,median_elapsed_ns,p25_elapsed_ns,p75_elapsed_ns,median_mitigation_ns,median_checks,median_stage_checks,median_recomputations,baseline_elapsed_ns,overhead_pct_vs_none
2048,28,butterfly-check,detect-only,30,,,,6102560.5,67584.0,0.0,0.0,,
2048,28,butterfly-check,recompute,30,,,,6093000.0,67584.0,0.0,0.0,,
2048,28,none,detect-only,30,,,,0.0,0.0,0.0,0.0,,
2048,28,stage-checksum,detect-only,30,,,,6418812.5,66.0,66.0,0.0,,
2048,28,stage-checksum,recompute,30,,,,6415850.5,66.0,66.0,0.0,,
2048,54,butterfly-check,detect-only,30,,,,7081378.5,67584.0,0.0,0.0,,
2048,54,butterfly-check,recompute,30,,,,7079959.5,67584.0,0.0,0.0,,
2048,54,none,detect-only,30,,,,0.0,0.0,0.0,0.0,,
2048,54,stage-checksum,detect-only,30,,,,7428330.0,66.0,66.0,0.0,,
2048,54,stage-checksum,recompute,30,,,,7429582.5,66.0,66.0,0.0,,
4096,28,butterfly-check,detect-only,30,,,,13240770.0,147456.0,0.0,0.0,,
4096,28,butterfly-check,recompute,30,,,,13235043.0,147456.0,0.0,0.0,,
4096,28,none,detect-only,30,,,,0.0,0.0,0.0,0.0,,
4096,28,stage-checksum,detect-only,30,,,,13925335.5,72.0,72.0,0.0,,
4096,28,stage-checksum,recompute,30,,,,13941084.0,72.0,72.0,0.0,,
4096,54,butterfly-check,detect-only,30,,,,15405562.0,147456.0,0.0,0.0,,
4096,54,butterfly-check,recompute,30,,,,15413020.5,147456.0,0.0,0.0,,
4096,54,none,detect-only,30,,,,0.0,0.0,0.0,0.0,,
4096,54,stage-checksum,detect-only,30,,,,16163227.0,72.0,72.0,0.0,,
4096,54,stage-checksum,recompute,30,,,,16182978.0,72.0,72.0,0.0,,
8192,28,butterfly-check,detect-only,30,,,,28647896.0,319488.0,0.0,0.0,,
8192,28,butterfly-check,recompute,30,,,,28708938.5,319488.0,0.0,0.0,,
8192,28,none,detect-only,30,,,,0.0,0.0,0.0,0.0,,
8192,28,stage-checksum,detect-only,30,,,,30145122.5,78.0,78.0,0.0,,
8192,28,stage-checksum,recompute,30,,,,30138998.5,78.0,78.0,0.0,,
8192,54,butterfly-check,detect-only,30,,,,33459814.5,319488.0,0.0,0.0,,
8192,54,butterfly-check,recompute,30,,,,33478560.5,319488.0,0.0,0.0,,
8192,54,none,detect-only,30,,,,0.0,0.0,0.0,0.0,,
8192,54,stage-checksum,detect-only,30,,,,35185523.0,78.0,78.0,0.0,,
8192,54,stage-checksum,recompute,30,,,,35059310.0,78.0,78.0,0.0,,
16384,28,butterfly-check,detect-only,30,,,,61764858.0,688128.0,0.0,0.0,,
16384,28,butterfly-check,recompute,30,,,,61721437.5,688128.0,0.0,0.0,,
16384,28,none,detect-only,30,,,,0.0,0.0,0.0,0.0,,
16384,28,stage-checksum,detect-only,30,,,,64840108.0,84.0,84.0,0.0,,
16384,28,stage-checksum,recompute,30,,,,64835310.0,84.0,84.0,0.0,,
16384,54,butterfly-check,detect-only,30,,,,71833688.0,688128.0,0.0,0.0,,
16384,54,butterfly-check,recompute,30,,,,71837854.0,688128.0,0.0,0.0,,
16384,54,none,detect-only,30,,,,0.0,0.0,0.0,0.0,,
16384,54,stage-checksum,detect-only,30,,,,75583189.5,84.0,84.0,0.0,,
16384,54,stage-checksum,recompute,30,,,,75550167.5,84.0,84.0,0.0,,
32768,28,butterfly-check,detect-only,30,,,,132069143.5,1474560.0,0.0,0.0,,
32768,28,butterfly-check,recompute,30,,,,132114523.0,1474560.0,0.0,0.0,,
32768,28,none,detect-only,30,,,,0.0,0.0,0.0,0.0,,
32768,28,stage-checksum,detect-only,30,,,,139249168.5,90.0,90.0,0.0,,
32768,28,stage-checksum,recompute,30,,,,139205643.0,90.0,90.0,0.0,,
32768,54,butterfly-check,detect-only,30,,,,154438522.0,1474560.0,0.0,0.0,,
32768,54,butterfly-check,recompute,30,,,,154363563.5,1474560.0,0.0,0.0,,
32768,54,none,detect-only,30,,,,0.0,0.0,0.0,0.0,,
32768,54,stage-checksum,detect-only,30,,,,162269585.5,90.0,90.0,0.0,,
32768,54,stage-checksum,recompute,30,,,,162414722.5,90.0,90.0,0.0,,
