n,bits,mitigation,action,fault_op,fault_site,stage,slot,bit,seed,fault_observed,golden_match,detected,corrected,max_abs_error,mean_abs_error,rms_error,relative_l2_error,snr_db,checks_performed,check_failures,stage_checks,stage_failures,s1_failures,s2_failures,recomputations,elapsed_ntt_ns,mitigation_time_ns,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
2048,28,butterfly-check,detect-only,ntt,mul-output,0,63,0,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,28,butterfly-check,detect-only,ntt,mul-output,0,63,4,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,28,butterfly-check,detect-only,ntt,mul-output,0,63,8,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,28,butterfly-check,detect-only,ntt,mul-output,0,63,16,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,28,butterfly-check,detect-only,ntt,mul-output,0,63,24,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,28,butterfly-check,detect-only,ntt,mul-output,0,63,26,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,28,butterfly-check,detect-only,ntt,mul-output,0,444,0,1,PASS,FAIL,no,no,1.25950908e4,1.59599620e3,1.86800543e3,2.30550371e0,-7.25531650,67584,0,0,0,0,0,0,7559166 ns,7294000,67584,67584,139264,151555,151555
2048,28,butterfly-check,detect-only,ntt,mul-output,0,444,4,1,PASS,FAIL,no,no,1.22370903e4,1.61158430e3,1.90316650e3,2.34889973e0,-7.41728954,67584,0,0,0,0,0,0,6372167 ns,6136208,67584,67584,139264,151555,151555
2048,28,butterfly-check,detect-only,ntt,mul-output,0,444,8,1,PASS,FAIL,no,no,1.37361476e4,1.59660750e3,1.88429350e3,2.32560654e0,-7.33072482,67584,0,0,0,0,0,0,6485291 ns,6252798,67584,67584,139264,151555,151555
2048,28,butterfly-check,detect-only,ntt,mul-output,0,444,16,1,PASS,FAIL,no,no,1.27125141e4,1.56000345e3,1.83240962e3,2.26157115e0,-7.08820509,67584,0,0,0,0,0,0,6523875 ns,6268875,67584,67584,139264,151555,151555
2048,28,butterfly-check,detect-only,ntt,mul-output,0,444,24,1,PASS,FAIL,no,no,9.76013741e3,1.59536567e3,1.84471225e3,2.27675513e0,-7.14632646,67584,0,0,0,0,0,0,6482541 ns,6255342,67584,67584,139264,151555,151555
2048,28,butterfly-check,detect-only,ntt,mul-output,0,444,26,1,PASS,FAIL,no,no,1.40137191e4,1.58583271e3,1.88723591e3,2.32923809e0,-7.34427766,67584,0,0,0,0,0,0,6524166 ns,6290125,67584,67584,139264,151555,151555
2048,28,butterfly-check,detect-only,ntt,mul-output,0,493,0,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,28,butterfly-check,detect-only,ntt,mul-output,0,493,4,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,28,butterfly-check,detect-only,ntt,mul-output,0,493,8,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,28,butterfly-check,detect-only,ntt,mul-output,0,493,16,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,28,butterfly-check,detect-only,ntt,mul-output,0,493,24,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,28,butterfly-check,detect-only,ntt,mul-output,0,493,26,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,28,butterfly-check,detect-only,ntt,mul-output,0,1046,0,1,PASS,FAIL,no,no,1.14262740e4,1.61540065e3,1.89300475e3,2.33635802e0,-7.37078789,67584,0,0,0,0,0,0,6531250 ns,6297208,67584,67584,139264,151555,151555
2048,28,butterfly-check,detect-only,ntt,mul-output,0,1046,4,1,PASS,FAIL,no,no,1.15413828e4,1.60794887e3,1.86757740e3,2.30497543e0,-7.25332602,67584,0,0,0,0,0,0,6308832 ns,6077632,67584,67584,139264,151555,151555
2048,28,butterfly-check,detect-only,ntt,mul-output,0,1046,8,1,PASS,FAIL,no,no,1.26596113e4,1.57478920e3,1.86065109e3,2.29642694e0,-7.22105266,67584,0,0,0,0,0,0,6533833 ns,6300584,67584,67584,139264,151555,151555
2048,28,butterfly-check,detect-only,ntt,mul-output,0,1046,16,1,PASS,FAIL,no,no,1.18618394e4,1.57073358e3,1.84372151e3,2.27553235e0,-7.14166028,67584,0,0,0,0,0,0,6550084 ns,6320046,67584,67584,139264,151555,151555
