n,bits,mitigation,checksum_mode,action,fault_op,fault_site,stage,slot,bit,seed,fault_observed,golden_match,detected,corrected,max_abs_error,mean_abs_error,rms_error,relative_l2_error,snr_db,checks_performed,check_failures,stage_checks,stage_failures,s1_failures,s2_failures,recomputations,elapsed_ntt_ns,mitigation_time_ns,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,2,0,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,2,8,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,2,24,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,2,26,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,4,0,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,4,8,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,4,24,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,4,26,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,7,0,1,PASS,FAIL,no,no,6.75983122e2,2.67773683e2,3.07511136e2,9.58738167e1,-39.63400034,36,0,36,0,0,0,0,340083 ns,309164,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,7,8,1,PASS,FAIL,no,no,4.34013907e2,2.35640804e2,2.54761999e2,7.94280346e1,-37.99947632,36,0,36,0,0,0,0,293459 ns,268256,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,7,24,1,PASS,FAIL,no,no,5.77638676e2,2.58168851e2,2.82193893e2,8.79805718e1,-38.88773560,36,0,36,0,0,0,0,295876 ns,268252,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,7,26,1,PASS,FAIL,no,no,5.99441902e2,2.72878019e2,3.04036273e2,9.47904466e1,-39.53529138,36,0,36,0,0,0,0,295958 ns,268582,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,8,0,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,8,8,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,8,24,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,8,26,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,10,0,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,10,8,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,10,24,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,10,26,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,12,0,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,12,8,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,12,24,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,12,26,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,14,0,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,14,8,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,14,24,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,14,26,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,16,0,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,16,8,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,16,24,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,16,26,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,18,0,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,18,8,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,18,24,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,18,26,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,21,0,1,PASS,FAIL,no,no,5.79176321e2,2.68338393e2,2.99929033e2,9.35099181e1,-39.41715353,36,0,36,0,0,0,0,343293 ns,309665,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,21,8,1,PASS,FAIL,no,no,5.55577336e2,2.60646252e2,2.83329868e2,8.83347386e1,-38.92263056,36,0,36,0,0,0,0,296874 ns,268378,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,21,24,1,PASS,FAIL,no,no,7.05014930e2,2.45102929e2,2.79420873e2,8.71160176e1,-38.80196028,36,0,36,0,0,0,0,294624 ns,267921,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,21,26,1,PASS,FAIL,no,no,5.93064258e2,2.53147471e2,2.88640428e2,8.99904304e1,-39.08392657,36,0,36,0,0,0,0,295666 ns,268623,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,22,0,1,ERROR,ERROR,ERROR,ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
