n,bits,mitigation,action,fault_op,fault_site,stage,slot,bit,seed,fault_observed,golden_match,detected,corrected,max_abs_error,mean_abs_error,rms_error,relative_l2_error,snr_db,checks_performed,check_failures,stage_checks,stage_failures,s1_failures,s2_failures,recomputations,elapsed_ntt_ns,mitigation_time_ns,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
64,28,butterfly-check,recompute,ntt,mul-output,0,2,0,1,PASS,FAIL,no,no,6.44524536e2,2.49132312e2,2.82844917e2,8.81835437e1,-38.90775094,1152,0,0,0,0,0,0,150708 ns,133459,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,2,8,1,PASS,FAIL,no,no,5.04663089e2,2.70192614e2,3.00966764e2,9.38334549e1,-39.44715414,1152,0,0,0,0,0,0,202249 ns,177957,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,2,24,1,PASS,FAIL,no,no,5.03195727e2,2.64137085e2,2.99245831e2,9.32969136e1,-39.39734553,1152,0,0,0,0,0,0,181834 ns,161416,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,2,26,1,PASS,FAIL,no,no,5.76726079e2,2.59415458e2,2.93976358e2,9.16540318e1,-39.24303148,1152,0,0,0,0,0,0,181165 ns,160876,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,4,0,1,PASS,FAIL,no,no,5.85748703e2,2.73823215e2,3.15542805e2,9.83778781e1,-39.85794902,1152,0,0,0,0,0,0,199209 ns,176375,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,4,8,1,PASS,FAIL,no,no,6.07181685e2,2.88466460e2,3.15463924e2,9.83532851e1,-39.85577740,1152,0,0,0,0,0,0,181917 ns,161663,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,4,24,1,PASS,FAIL,no,no,4.90117378e2,2.60177124e2,2.90150377e2,9.04611925e1,-39.12924617,1152,0,0,0,0,0,0,159334 ns,140417,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,4,26,1,PASS,FAIL,no,no,5.37864599e2,2.42263362e2,2.90801406e2,9.06641660e1,-39.14871342,1152,0,0,0,0,0,0,132875 ns,117956,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,7,0,1,PASS,FAIL,yes,yes,6.75983122e2,2.67773683e2,3.07511136e2,9.58738167e1,-39.63400034,1152,3,0,0,0,0,3,128584 ns,114666,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,7,8,1,PASS,FAIL,yes,yes,4.34013907e2,2.35640804e2,2.54761999e2,7.94280346e1,-37.99947632,1152,3,0,0,0,0,3,127625 ns,113085,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,7,24,1,PASS,FAIL,yes,yes,5.77638676e2,2.58168851e2,2.82193893e2,8.79805718e1,-38.88773560,1152,3,0,0,0,0,3,132960 ns,117127,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,7,26,1,PASS,FAIL,yes,yes,5.99441902e2,2.72878019e2,3.04036273e2,9.47904466e1,-39.53529138,1152,3,0,0,0,0,3,132791 ns,118794,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,8,0,1,PASS,FAIL,no,no,5.13283818e2,2.42030188e2,2.75356417e2,8.58488282e1,-38.67468743,1152,0,0,0,0,0,0,132333 ns,116831,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,8,8,1,PASS,FAIL,no,no,5.54549011e2,2.33242100e2,2.64826512e2,8.25658829e1,-38.33601259,1152,0,0,0,0,0,0,128584 ns,113374,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,8,24,1,PASS,FAIL,no,no,6.59879501e2,2.71165664e2,3.17003798e2,9.88333767e1,-39.89807267,1152,0,0,0,0,0,0,181001 ns,160710,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,8,26,1,PASS,FAIL,no,no,6.17591797e2,2.83805301e2,3.20390200e2,9.98891673e1,-39.99036786,1152,0,0,0,0,0,0,199584 ns,177250,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,10,0,1,PASS,FAIL,no,no,6.87142534e2,2.70722397e2,3.14646801e2,9.80985276e1,-39.83324978,1152,0,0,0,0,0,0,117915 ns,103707,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,10,8,1,PASS,FAIL,no,no,5.02835007e2,2.65380205e2,2.95349591e2,9.20821694e1,-39.28351085,1152,0,0,0,0,0,0,158250 ns,140210,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,10,24,1,PASS,FAIL,no,no,5.41033184e2,2.49548200e2,2.81169390e2,8.76611589e1,-38.85614416,1152,0,0,0,0,0,0,167334 ns,148167,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,10,26,1,PASS,FAIL,no,no,7.17891023e2,2.73706707e2,3.07935713e2,9.60061883e1,-39.64598455,1152,0,0,0,0,0,0,199291 ns,176919,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,12,0,1,PASS,FAIL,no,no,6.04214891e2,2.92982567e2,3.23362939e2,1.00815988e2,-40.07058825,1152,0,0,0,0,0,0,167457 ns,149082,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,12,8,1,PASS,FAIL,no,no,8.00353027e2,2.67783189e2,3.17858689e2,9.90999091e1,-39.92146512,1152,0,0,0,0,0,0,118958 ns,104831,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,12,24,1,PASS,FAIL,no,no,6.48962296e2,2.62814564e2,2.95057791e2,9.19911940e1,-39.27492512,1152,0,0,0,0,0,0,130042 ns,115838,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,12,26,1,PASS,FAIL,no,no,6.20868788e2,2.69127510e2,3.06359571e2,9.55147891e1,-39.60141242,1152,0,0,0,0,0,0,131834 ns,116958,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,14,0,1,PASS,FAIL,no,no,5.27711938e2,2.51411102e2,2.89433909e2,9.02378165e1,-39.10777157,1152,0,0,0,0,0,0,129958 ns,115749,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,14,8,1,PASS,FAIL,no,no,5.94952262e2,2.64956972e2,2.96082410e2,9.23106429e1,-39.30503551,1152,0,0,0,0,0,0,130250 ns,115249,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,14,24,1,PASS,FAIL,no,no,8.12269536e2,2.61959172e2,3.01671108e2,9.40530507e1,-39.46745773,1152,0,0,0,0,0,0,171374 ns,152627,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,14,26,1,PASS,FAIL,no,no,6.13546316e2,2.82977320e2,3.17401641e2,9.89574137e1,-39.90896672,1152,0,0,0,0,0,0,167791 ns,149413,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,16,0,1,PASS,FAIL,no,no,5.85710559e2,2.61407788e2,3.02233818e2,9.42284889e1,-39.48364454,1152,0,0,0,0,0,0,152042 ns,134747,1152,1152,2432,2819,2819
64,28,butterfly-check,recompute,ntt,mul-output,0,16,8,1,PASS,FAIL,no,no,4.62453973e2,2.58919014e2,2.80111612e2,8.73313716e1,-38.82340562,1152,0,0,0,0,0,0,221707 ns,197000,1152,1152,2432,2819,2819
