n,bits,mitigation,action,repeat,elapsed_ntt_ns,mitigation_time_ns,checks_performed,check_failures,stage_checks,stage_failures,recomputations,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
2048,28,none,detect-only,1,5651541 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,2,5627000 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,3,5657293 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,4,5691584 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,5,5640291 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,6,5694209 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,7,5649708 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,8,5722500 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,9,5710583 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,10,5781332 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,11,5802083 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,12,5977291 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,13,5840332 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,14,5844041 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,15,5883625 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,16,5851624 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,17,6368040 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,18,5882501 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,19,5961585 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,20,5837750 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,21,6090376 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,22,5869419 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,23,8266540 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,24,6029584 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,25,6005126 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,26,6058750 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,27,6057041 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,28,6027999 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,29,6087293 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,30,5896790 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,1,6715667 ns,6462040,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,2,6607833 ns,6370581,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,3,6629041 ns,6389959,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,4,6639208 ns,6367999,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,5,6734292 ns,6488786,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,6,6685207 ns,6455081,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,7,6825708 ns,6564255,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,8,6725083 ns,6480794,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,9,6541750 ns,6312200,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,10,6859457 ns,6613038,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,11,6720498 ns,6437877,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,12,6719209 ns,6474915,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,13,6676416 ns,6416828,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,14,6690085 ns,6457079,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,15,6755916 ns,6496919,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,16,26216584 ns,25739413,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,17,6585249 ns,6354622,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,18,6724499 ns,6467251,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,19,6749624 ns,6491583,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,20,6672167 ns,6437212,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,21,6680126 ns,6413832,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,22,6664209 ns,6430503,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,23,6726207 ns,6474334,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,24,6721167 ns,6476415,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,25,6505458 ns,6283284,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,26,6702750 ns,6469493,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,27,9162209 ns,8875536,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,28,6772708 ns,6519250,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,29,6741334 ns,6474583,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,detect-only,30,6685251 ns,6454708,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,1,6648124 ns,6405749,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,2,6784043 ns,6546541,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,3,6731999 ns,6480377,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,4,6684541 ns,6436583,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,5,6758458 ns,6521498,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,6,6624125 ns,6368289,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,7,6738458 ns,6504753,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,8,6702291 ns,6461164,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,9,6687668 ns,6446916,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,10,6725459 ns,6491713,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,11,6725291 ns,6480332,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,12,6774457 ns,6530961,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,13,6685584 ns,6455465,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,28,butterfly-check,recompute,14,6706209 ns,6462212,67584,0,0,0,0,67584,67584,139264,151552,151552
